strain_id,strain_name,description,peptones,ratios,overall_score,detailed_scores,rationale
KCCM 12116,Lactiplantibacillus plantarum KCCM 12116,Pork peptoneS,['Pork peptoneS'],[1.0],0.20328416030534352,"{'nutritional_match': 0.17900000000000002, 'amino_acid_match': 0.12673664122137407, 'growth_factor_match': 0.5, 'mw_distribution_match': 0.0}",Good overall match
KCCM 12116,Lactiplantibacillus plantarum KCCM 12116,PEA-BIO,['PEA-BIO'],[1.0],0.17854141223028783,"{'nutritional_match': 0.24070000000000003, 'amino_acid_match': 0.3211256489211512, 'growth_factor_match': 0.0099, 'mw_distribution_match': 0.0}",Good overall match
KCCM 12116,Lactiplantibacillus plantarum KCCM 12116,PEA-1,['PEA-1'],[1.0],0.17328786133960047,"{'nutritional_match': 0.2293, 'amino_acid_match': 0.3192714453584019, 'growth_factor_match': 0.00875, 'mw_distribution_match': 0.0}",Good overall match
KCCM 12116,Lactiplantibacillus plantarum KCCM 12116,RICE-BIO,['RICE-BIO'],[1.0],0.15764433310835368,"{'nutritional_match': 0.20305, 'amino_acid_match': 0.3055773324334147, 'growth_factor_match': 0.00015000000000000001, 'mw_distribution_match': 0.0}",Good overall match
KCCM 12116,Lactiplantibacillus plantarum KCCM 12116,SOY-HyN+,['SOY-HyN+'],[1.0],0.15540915561450044,"{'nutritional_match': 0.21395, 'amino_acid_match': 0.2628717948717949, 'growth_factor_match': 0.020556034482758622, 'mw_distribution_match': 0.0}",Good overall match
KCCM 12116,Lactiplantibacillus plantarum KCCM 12116,Pork peptoneS 70% + PEA-BIO 30%,"['Pork peptoneS', 'PEA-BIO']","[0.7, 0.30000000000000004]",0.2122724942341308,"{'nutritional_match': 0.19751000000000002, 'amino_acid_match': 0.1850533435313072, 'growth_factor_match': 0.35297, 'mw_distribution_match': 0.0}","Complementary sources: pork, pea"
KCCM 12116,Lactiplantibacillus plantarum KCCM 12116,Pork peptoneS 70% + PEA-1 30%,"['Pork peptoneS', 'PEA-1']","[0.7, 0.30000000000000004]",0.21005872644623197,"{'nutritional_match': 0.19409, 'amino_acid_match': 0.18449708246248242, 'growth_factor_match': 0.35262499999999997, 'mw_distribution_match': 0.0}","Complementary sources: pork, pea"
KCCM 12116,Lactiplantibacillus plantarum KCCM 12116,Pork peptoneS 60% + PEA-BIO 40%,"['Pork peptoneS', 'PEA-BIO']","[0.6, 0.4]",0.20959090073614667,"{'nutritional_match': 0.20368000000000003, 'amino_acid_match': 0.20449224430128493, 'growth_factor_match': 0.30396, 'mw_distribution_match': 0.0}","Complementary sources: pork, pea"
KCCM 12116,Lactiplantibacillus plantarum KCCM 12116,Pork peptoneS 50% + PEA-BIO 50%,"['Pork peptoneS', 'PEA-BIO']","[0.5, 0.5]",0.2069093072381625,"{'nutritional_match': 0.20985000000000004, 'amino_acid_match': 0.22393114507126263, 'growth_factor_match': 0.25495, 'mw_distribution_match': 0.0}","Complementary sources: pork, pea"
KCCM 12116,Lactiplantibacillus plantarum KCCM 12116,Pork peptoneS 60% + PEA-1 40%,"['Pork peptoneS', 'PEA-1']","[0.6, 0.4]",0.20681556532605092,"{'nutritional_match': 0.19912000000000002, 'amino_acid_match': 0.2037505628761852, 'growth_factor_match': 0.3035, 'mw_distribution_match': 0.0}","Complementary sources: pork, pea"
